timestamp: 2021-05-30T12:19:39Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:41Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:42Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:43Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:44Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:45Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:46Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:48Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:50Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:51Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:52Z, humidity: 29.0 %,  Temperature: 24.5 C`
timestamp: 2021-05-30T12:19:53Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:55Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:56Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:57Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:58Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:59Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:20:02Z, humidity: 29.0 %,  Temperature: 24.5 C`
timestamp: 2021-05-30T12:20:03Z, humidity: 29.0 %,  Temperature: 24.6 C`
